unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
driver_VER,8.0,6,6,78.12322926929299,1
driver_PER,0.0,16,15,69.26384862969525,2
driver_NOR,10.0,5,5,61.40418266676986,3
driver_RUS,25.0,1,1,61.313914763245116,4
driver_LEC,15.0,3,3,30.95039769121616,5
driver_ANT,18.0,2,2,18.0,6
driver_HAM,12.0,4,4,9.671507369610545,7
driver_SAI,0.0,15,13,6.755823386278819,8
driver_OCO,0.0,11,11,6.2808503062024075,9
driver_BEA,6.0,7,7,6.0,10
driver_ALO,0.0,0,17,4.2980504451871475,11
driver_LIN,4.0,8,8,4.0,12
driver_STR,0.0,0,12,3.874798226703255,13
driver_ALB,0.0,12,16,2.768291763572219,14
driver_BOR,2.0,9,9,2.0,15
driver_PIA,0.0,0,14,0.0,16
driver_HAD,0.0,0,19,0.0,17
driver_COL,0.0,14,20,0.0,18
driver_LAW,0.0,13,22,0.0,19
driver_HUL,0.0,0,18,-0.16237582321371807,20
driver_GAS,1.0,10,10,-0.9553514961921654,21
driver_BOT,0.0,0,21,-5.224224084768607,22
