unique_id,ds,SeasonalNaive,predicted_position,driver_code,constructor,fp_pace_rank,predicted_rank,win_probability
PIA_australia,2022-01-01,,8.2,PIA,McLaren,1,1,0.07733200649490295
RUS_australia,2024-01-01,,8.6,RUS,Mercedes,3,2,0.07373516898351211
HAM_australia,2028-01-01,,8.8,HAM,Ferrari,4,3,0.07205936968843228
LEC_australia,2025-01-01,,9.0,LEC,Ferrari,5,4,0.07045805036202267
VER_australia,2028-01-01,,9.2,VER,Red Bull Racing,6,5,0.0689263536150222
NOR_australia,2024-01-01,,9.4,NOR,McLaren,7,6,0.06745983545300044
LIN_australia,2022-01-01,,9.6,LIN,Racing Bulls,8,7,0.06605442221439627
OCO_australia,2025-01-01,,10.0,OCO,Haas,10,8,0.06341224532582042
HUL_australia,2027-01-01,,10.4,HUL,Audi,12,9,0.060973312813288855
ALB_australia,2024-01-01,,11.0,ALB,Williams,15,10,0.057647495750745834
