unique_id,ds,Prophet,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
VER_azerbaijan,2026-01-01,0.31838151197580267,1.0,VER,Red Bull Racing,1,1,0.24542462700646747
PIA_azerbaijan,2021-01-01,-19.027399622229044,1.5999999999999999,PIA,McLaren,3,2,0.1533903918790422
RUS_azerbaijan,2024-01-01,-8.922455076066287,1.9,RUS,Mercedes,4,3,0.1291708563191934
ANT_azerbaijan,2022-01-01,-4.218403384201427,2.5,ANT,Mercedes,6,4,0.098169850802587
HAD_azerbaijan,2022-01-01,-4.218403384201427,3.3999999999999995,HAD,Racing Bulls,9,5,0.07218371382543162
NOR_azerbaijan,2024-01-01,5.016564371618683,4.1115950601330775,NOR,McLaren,2,6,0.05969085559669
ALO_azerbaijan,2025-01-01,3.9970243080806487,6.3979170156564535,ALO,Aston Martin,12,7,0.03836008288414567
LEC_azerbaijan,2025-01-01,10.984846099890504,9.189392269923353,LEC,Ferrari,5,8,0.026707383883234157
HUL_azerbaijan,2024-01-01,8.010421471580742,10.707295030106518,HUL,Kick Sauber,17,9,0.02292125381026565
ALB_azerbaijan,2023-01-01,8.653334865052333,12.057334405536633,ALB,Williams,20,10,0.020354799722048882
