unique_id,ds,Prophet,predicted_position,driver_code,constructor,predicted_rank,win_probability
VER_azerbaijan,2026-01-01,0.31838151197580267,1.0,VER,Red Bull Racing,1,0.15828382892860643
ANT_azerbaijan,2022-01-01,-4.218403384201427,1.0,ANT,Mercedes,2,0.15828382892860643
RUS_azerbaijan,2024-01-01,-8.922455076066287,1.0,RUS,Mercedes,3,0.15828382892860643
PIA_azerbaijan,2021-01-01,-19.027399622229044,1.0,PIA,McLaren,4,0.15828382892860643
HAD_azerbaijan,2022-01-01,-4.218403384201427,1.0,HAD,Racing Bulls,5,0.15828382892860643
ALO_azerbaijan,2025-01-01,3.9970243080806487,3.9970243080806487,ALO,Aston Martin,6,0.039600416892288944
NOR_azerbaijan,2024-01-01,5.016564371618683,5.016564371618683,NOR,McLaren,7,0.03155223718928048
HUL_azerbaijan,2024-01-01,8.010421471580742,8.010421471580742,HUL,Kick Sauber,8,0.019759737922675297
ALB_azerbaijan,2023-01-01,8.653334865052333,8.653334865052333,ALB,Williams,9,0.01829165649972211
GAS_azerbaijan,2025-01-01,9.931531156950411,9.931531156950411,GAS,Alpine,10,0.015937505146709854
