unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
driver_PIA,0.0,0,17,528.8416048899006,1
driver_NOR,0.0,0,14,316.02223920512165,2
driver_ANT,0.0,0,3,274.9999954279835,3
driver_VER,0.0,0,21,256.3559743684506,4
driver_RUS,0.0,0,18,238.2348188915613,5
driver_LEC,0.0,0,13,204.42688459901163,6
driver_PER,0.0,0,16,175.39556948714934,7
driver_HAM,0.0,0,10,149.6008653920006,8
driver_SAI,0.0,0,19,119.3797592748913,9
driver_HAD,0.0,0,9,93.4999963245132,10
driver_BEA,0.0,0,4,86.4041381061856,11
driver_LAW,0.0,0,12,63.84058802913388,12
driver_ALO,0.0,0,2,46.62524810945375,13
driver_BOR,0.0,0,5,34.833334401875305,14
driver_ALB,0.0,0,1,30.364730246169636,15
driver_OCO,0.0,0,15,27.662079143654807,16
driver_GAS,0.0,0,8,25.857139604839755,17
driver_HUL,0.0,0,11,23.216901569648027,18
driver_STR,0.0,0,20,20.357873942188263,19
driver_BOT,0.0,0,6,8.192507918228426,20
driver_COL,0.0,0,7,0.0,21
