unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
constructor_red_bull_racing,0.0,0,9,408.8957565260422,1
constructor_mclaren,0.0,0,6,380.78708762206435,2
constructor_mercedes,0.0,0,7,286.41643752315844,3
constructor_ferrari,0.0,0,4,234.30939020731856,4
constructor_williams,0.0,0,10,86.0,5
constructor_aston_martin,0.0,0,2,63.71908933869295,6
constructor_racing_bulls,0.0,0,8,33.35612836384897,7
constructor_alpine,0.0,0,1,31.187485063058993,8
constructor_haas,0.0,0,5,24.746592664426817,9
constructor_audi,0.0,0,3,22.200218683890824,10
