unique_id,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
NOR_belgium,3.9166666666666665,NOR,McLaren,1,1,0.1137534829006227
LEC_belgium,4.6,LEC,Ferrari,3,2,0.09685532058567513
PIA_belgium,5.1499999999999995,PIA,McLaren,2,3,0.08651154848429235
VER_belgium,5.346153846153846,VER,Red Bull Racing,4,4,0.08333738375573196
ALB_belgium,6.54,ALB,Williams,5,5,0.06812453741500084
RUS_belgium,8.399999999999999,RUS,Mercedes,7,6,0.05303981841596495
TSU_belgium,8.625,TSU,Red Bull Racing,6,7,0.05165617097902673
OCO_belgium,10.08125,OCO,Haas,11,8,0.04419436822756161
HAD_belgium,10.1,HAD,Racing Bulls,8,9,0.04411232422713916
LAW_belgium,10.75,LAW,Racing Bulls,9,10,0.041445067413405166
