unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
driver_RUS,51.0,1,1,51.0,1
driver_ANT,47.0,2,2,47.0,2
driver_LEC,34.0,3,3,34.0,3
driver_HAM,33.0,4,4,33.0,4
driver_BEA,17.0,5,5,17.0,5
driver_NOR,15.0,6,6,15.0,6
driver_GAS,9.0,7,7,9.0,7
driver_LAW,8.0,9,8,8.0,8
driver_VER,8.0,8,9,8.0,9
driver_HAD,4.0,11,10,4.0,10
driver_LIN,4.0,10,11,4.0,11
driver_PIA,3.0,12,12,3.0,12
driver_BOR,2.0,14,13,2.0,13
driver_SAI,2.0,13,14,2.0,14
driver_COL,1.0,15,15,1.0,15
driver_HUL,0.0,17,16,0.0,16
driver_ALO,0.0,21,17,0.0,17
driver_BOT,0.0,19,18,0.0,18
driver_OCO,0.0,16,19,0.0,19
driver_PER,0.0,20,20,0.0,20
driver_STR,0.0,22,21,0.0,21
driver_ALB,0.0,18,22,0.0,22
