unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
constructor_mclaren,18.0,3,3,284.74060275852696,1
constructor_red_bull_racing,12.0,5,5,269.1499341476308,2
constructor_mercedes,98.0,1,1,262.3703199248819,3
constructor_ferrari,67.0,2,2,231.7316803512543,4
constructor_aston_martin,0.0,11,10,75.38905649084647,5
constructor_williams,2.0,9,9,54.989149406459234,6
constructor_racing_bulls,12.0,6,6,31.641392102387975,7
constructor_haas,17.0,4,4,20.105284491625387,8
constructor_alpine,10.0,7,7,15.203050649375614,9
constructor_audi,2.0,8,8,13.036529617413976,10
