unique_id,ds,SeasonalNaive,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
RUS_china,2022-01-01,,4.8,RUS,Mercedes,2,1,0.19996328656674991
HAM_china,2026-01-01,,5.45,HAM,Ferrari,3,2,0.15510997803208207
LEC_china,2023-01-01,,6.1,LEC,Ferrari,4,3,0.12381494551190322
PIA_china,2021-01-01,,6.75,PIA,McLaren,5,4,0.10111723725647008
NOR_china,2022-01-01,,7.4,NOR,McLaren,6,5,0.08413356688272311
GAS_china,2023-01-01,,8.05,GAS,Alpine,7,6,0.07109531457116496
VER_china,2026-01-01,,8.7,VER,Red Bull Racing,8,7,0.060868729323529124
HUL_china,2026-01-01,,10.65,HUL,Audi,11,8,0.04061940199253162
OCO_china,2023-01-01,,11.950000000000001,OCO,Haas,13,9,0.03226241923284198
LIN_china,2022-01-01,,13.9,LIN,Racing Bulls,16,10,0.02384531919930603
SAI_china,2026-01-01,,14.55,SAI,Williams,17,11,0.02176239828295801
ALB_china,2022-01-01,,15.200000000000001,ALB,Williams,18,12,0.019940937164551236
ALO_china,2025-01-01,,15.85,ALO,Aston Martin,19,13,0.018338939077900736
BOT_china,2025-01-01,,16.5,BOT,Cadillac,20,14,0.016922512846640654
STR_china,2024-01-01,,17.15,STR,Aston Martin,21,15,0.015664065559411192
PER_china,2025-01-01,,17.8,PER,Cadillac,22,16,0.014540948499235947
