unique_id,ds,SeasonalNaive,predicted_position,driver_code,constructor,sq_rank,predicted_rank,win_probability
RUS_china,2022-01-01,,8.2,RUS,Mercedes,1.0,1,0.0925298846583032
NOR_china,2022-01-01,,8.6,NOR,McLaren,3.0,2,0.08412262634429837
HAM_china,2026-01-01,,8.8,HAM,Ferrari,4.0,3,0.08034232237118165
PIA_china,2021-01-01,,9.0,PIA,McLaren,5.0,4,0.07681122770894205
LEC_china,2023-01-01,,9.2,LEC,Ferrari,6.0,5,0.073507909315032
GAS_china,2023-01-01,,9.4,GAS,Alpine,7.0,6,0.07041318972865895
VER_china,2026-01-01,,9.6,VER,Red Bull Racing,8.0,7,0.06750986810356235
PER_china,2025-01-01,,10.0,PER,Cadillac,,8,0.06221709444424307
HUL_china,2026-01-01,,10.2,HUL,Audi,11.0,9,0.05980112883914175
OCO_china,2023-01-01,,10.4,OCO,Haas,12.0,10,0.05752320122433715
LIN_china,2022-01-01,,11.0,LIN,Racing Bulls,15.0,11,0.051419086317556255
SAI_china,2026-01-01,,11.4,SAI,Williams,17.0,12,0.047874033890614856
ALB_china,2022-01-01,,11.6,ALB,Williams,18.0,13,0.04623743641813546
ALO_china,2025-01-01,,11.8,ALO,Aston Martin,19.0,14,0.044683348494860005
STR_china,2024-01-01,,12.0,STR,Aston Martin,20.0,15,0.04320631558627991
BOT_china,2025-01-01,,12.2,BOT,Cadillac,21.0,16,0.04180132655485291
