unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
driver_ANT,72.0,1,1,72.0,1
driver_RUS,63.0,2,2,63.0,2
driver_LEC,49.0,3,3,49.0,3
driver_HAM,41.0,4,4,41.0,4
driver_NOR,25.0,5,5,25.0,5
driver_PIA,21.0,6,6,21.0,6
driver_BEA,17.0,7,7,17.0,7
driver_GAS,15.0,8,8,15.0,8
driver_VER,12.0,9,9,12.0,9
driver_LAW,10.0,10,10,10.0,10
driver_HAD,4.0,12,11,4.0,11
driver_LIN,4.0,11,12,4.0,12
driver_BOR,2.0,13,13,2.0,13
driver_SAI,2.0,14,14,2.0,14
driver_COL,1.0,16,15,1.0,15
driver_OCO,1.0,15,16,1.0,16
driver_HUL,0.0,17,17,0.0,17
driver_ALO,0.0,21,18,0.0,18
driver_PER,0.0,20,19,0.0,19
driver_BOT,0.0,19,20,0.0,20
driver_STR,0.0,22,21,0.0,21
driver_ALB,0.0,18,22,0.0,22
