unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
constructor_mclaren,46.0,3,3,397.7996185810507,1
constructor_red_bull_racing,16.0,6,6,361.3516594708629,2
constructor_ferrari,90.0,2,2,226.7159118768064,3
constructor_mercedes,135.0,1,1,205.9345832377501,4
constructor_aston_martin,0.0,11,10,84.67509740735369,5
constructor_williams,2.0,9,9,35.98762046712106,6
constructor_racing_bulls,14.0,7,7,27.814411733435794,7
constructor_audi,2.0,8,8,17.892207752734286,8
constructor_haas,18.0,4,4,15.619536960021534,9
constructor_alpine,16.0,5,5,14.594313421830991,10
