unique_id,ds,SeasonalNaive,predicted_position,driver_code,constructor,predicted_rank,win_probability
ALB_japan,2024-01-01,,10.0,ALB,Williams,1,0.04761904761904761
SAI_japan,2028-01-01,,10.0,SAI,Williams,2,0.04761904761904761
RUS_japan,2024-01-01,,10.0,RUS,Mercedes,3,0.04761904761904761
PIA_japan,2022-01-01,,10.0,PIA,McLaren,4,0.04761904761904761
PER_japan,2031-01-01,,10.0,PER,Cadillac,5,0.04761904761904761
OCO_japan,2026-01-01,,10.0,OCO,Haas,6,0.04761904761904761
NOR_japan,2024-01-01,,10.0,NOR,McLaren,7,0.04761904761904761
LIN_japan,2022-01-01,,10.0,LIN,Racing Bulls,8,0.04761904761904761
LEC_japan,2025-01-01,,10.0,LEC,Ferrari,9,0.04761904761904761
STR_japan,2026-01-01,,10.0,STR,Aston Martin,10,0.04761904761904761
LAW_japan,2021-01-01,,10.0,LAW,Racing Bulls,11,0.04761904761904761
HAM_japan,2033-01-01,,10.0,HAM,Ferrari,12,0.04761904761904761
HAD_japan,2022-01-01,,10.0,HAD,Red Bull Racing,13,0.04761904761904761
GAS_japan,2026-01-01,,10.0,GAS,Alpine,14,0.04761904761904761
BOT_japan,2029-01-01,,10.0,BOT,Cadillac,15,0.04761904761904761
BOR_japan,2022-01-01,,10.0,BOR,Audi,16,0.04761904761904761
BEA_japan,2022-01-01,,10.0,BEA,Haas,17,0.04761904761904761
ANT_japan,2022-01-01,,10.0,ANT,Mercedes,18,0.04761904761904761
ALO_japan,2032-01-01,,10.0,ALO,Aston Martin,19,0.04761904761904761
HUL_japan,2031-01-01,,10.0,HUL,Audi,20,0.04761904761904761
VER_japan,2031-01-01,,10.0,VER,Red Bull Racing,21,0.04761904761904761
