unique_id,ds,SeasonalNaive,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
ANT_japan,2022-01-01,,4.15,ANT,Mercedes,1,1,0.18352349096782017
RUS_japan,2024-01-01,,4.8,RUS,Mercedes,2,2,0.13718460604137517
PIA_japan,2022-01-01,,5.45,PIA,McLaren,3,3,0.10641304008730859
LEC_japan,2025-01-01,,6.1,LEC,Ferrari,4,4,0.08494311537740619
NOR_japan,2024-01-01,,6.75,NOR,McLaren,5,5,0.06937137609203366
HAM_japan,2028-01-01,,7.4,HAM,Ferrari,6,6,0.05771974658862826
GAS_japan,2026-01-01,,8.05,GAS,Alpine,7,7,0.04877486706829649
HAD_japan,2022-01-01,,8.7,HAD,Red Bull Racing,8,8,0.04175892883066831
BOR_japan,2022-01-01,,9.350000000000001,BOR,Audi,9,9,0.0361546892755673
LIN_japan,2022-01-01,,10.0,LIN,Racing Bulls,10,10,0.031607333231932835
VER_japan,2028-01-01,,10.65,VER,Red Bull Racing,11,11,0.02786689874754377
OCO_japan,2026-01-01,,11.3,OCO,Haas,12,12,0.02475317819087856
HUL_japan,2027-01-01,,11.950000000000001,HUL,Audi,13,13,0.022133599364109753
LAW_japan,2021-01-01,,12.6,LAW,Racing Bulls,14,14,0.01990887706722905
COL_japan,2022-01-01,,13.25,COL,Alpine,15,15,0.018003464995048964
SAI_japan,2028-01-01,,13.9,SAI,Williams,16,16,0.016359056587098412
ALB_japan,2024-01-01,,14.55,ALB,Williams,17,17,0.014930070845612516
BEA_japan,2022-01-01,,15.200000000000001,BEA,Haas,18,18,0.013680459328225777
PER_japan,2027-01-01,,15.85,PER,Cadillac,19,19,0.012581410196910245
BOT_japan,2027-01-01,,16.5,BOT,Cadillac,20,20,0.011609672445154394
ALO_japan,2027-01-01,,17.15,ALO,Aston Martin,21,21,0.01074631598464342
STR_japan,2026-01-01,,17.8,STR,Aston Martin,22,22,0.00997580268650828
