unique_id,ds,Prophet,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
DOO_monaco,2022-01-01,-0.6924559963368253,1.0,DOO,Alpine,,1,0.1761682787377093
NOR_monaco,2024-01-01,-0.9384420329788927,1.0,NOR,McLaren,1.0,2,0.1761682787377093
LEC_monaco,2025-01-01,-11.949986530730829,1.2999999999999998,LEC,Ferrari,2.0,3,0.1355140605674687
PIA_monaco,2021-01-01,-14.021931536745203,1.5999999999999999,PIA,McLaren,3.0,4,0.1101051742110683
VER_monaco,2031-01-01,-1.2761810750587141,2.2,VER,Red Bull Racing,5.0,5,0.0800764903353224
SAI_monaco,2028-01-01,-2.0543527079232176,4.0,SAI,Williams,11.0,6,0.044042069684427324
RUS_monaco,2024-01-01,-4.97449871485755,4.6,RUS,Mercedes,13.0,7,0.038297451899502025
ANT_monaco,2022-01-01,-4.218403384201427,5.2,ANT,Mercedes,15.0,8,0.03387851514186717
HAM_monaco,2033-01-01,6.153879201477143,5.507715441034001,HAM,Ferrari,4.0,9,0.03198572631861243
BEA_monaco,2022-01-01,-0.6924559963368253,5.8,BEA,Haas,17.0,10,0.030373841161674017
