unique_id,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
HAM_monaco,4.35,HAM,Ferrari,4.0,1,0.10622356498151055
NOR_monaco,4.919999999999999,NOR,McLaren,1.0,2,0.09391717635560384
PIA_monaco,5.1,PIA,McLaren,3.0,3,0.09060245248422959
VER_monaco,7.449999999999999,VER,Red Bull Racing,5.0,4,0.0620231553918887
SAI_monaco,7.577777777777777,SAI,Williams,11.0,5,0.060977310396277684
ALO_monaco,8.174999999999999,ALO,Aston Martin,8.0,6,0.05652263090759276
LEC_monaco,8.649999999999999,LEC,Ferrari,2.0,7,0.05341878701382323
OCO_monaco,9.583333333333334,OCO,Haas,9.0,8,0.048216261669868254
RUS_monaco,10.06,RUS,Mercedes,13.0,9,0.04593166080214421
ALB_monaco,10.375,ALB,Williams,6.0,10,0.044537109172970685
