unique_id,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
NOR_monaco,2.9599999999999995,NOR,McLaren,1.0,1,0.13791429732266003
PIA_monaco,4.05,PIA,McLaren,3.0,2,0.10079662224075893
HAM_monaco,4.175,HAM,Ferrari,4.0,3,0.09777875929941884
LEC_monaco,5.324999999999999,LEC,Ferrari,2.0,4,0.07666221973240821
VER_monaco,6.225,VER,Red Bull Racing,5.0,5,0.06557852531326484
ALO_monaco,8.0875,ALO,Aston Martin,8.0,6,0.050476206500781905
ALB_monaco,8.1875,ALB,Williams,6.0,7,0.04985970321527617
SAI_monaco,9.288888888888888,SAI,Williams,11.0,8,0.043947809577460084
OCO_monaco,9.291666666666668,OCO,Haas,9.0,9,0.043934671218842
HAD_monaco,9.45,HAD,Racing Bulls,7.0,10,0.04319855238889669
