unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
driver_NOR,0.0,0,14,423.0,1
driver_VER,0.0,0,21,421.0,2
driver_PIA,0.0,0,17,410.0,3
driver_RUS,0.0,0,18,319.0,4
driver_LEC,0.0,0,13,242.0,5
driver_HAM,0.0,0,10,156.0,6
driver_PER,0.0,0,16,152.0,7
driver_ANT,0.0,0,3,150.0,8
driver_ALB,0.0,0,1,73.0,9
driver_SAI,0.0,0,19,64.0,10
driver_ALO,0.0,0,2,56.0,11
driver_HAD,0.0,0,9,51.0,12
driver_HUL,0.0,0,11,51.0,13
driver_BEA,0.0,0,4,41.0,14
driver_LAW,0.0,0,12,38.0,15
driver_OCO,0.0,0,15,38.0,16
driver_STR,0.0,0,20,33.0,17
driver_GAS,0.0,0,8,22.0,18
driver_BOR,0.0,0,5,19.0,19
driver_COL,0.0,0,7,0.0,20
driver_BOT,0.0,0,6,0.0,21
