unique_id,current_points,championship_position,current_position,predicted_points,predicted_position
constructor_red_bull_racing,0.0,0,9,407.32512340299957,1
constructor_mclaren,0.0,0,6,382.3059727611072,2
constructor_mercedes,0.0,0,7,286.3707948264781,3
constructor_ferrari,0.0,0,4,233.6964081280326,4
constructor_williams,0.0,0,10,86.0,5
constructor_aston_martin,0.0,0,2,63.34050493609513,6
constructor_racing_bulls,0.0,0,8,33.463253922879524,7
constructor_alpine,0.0,0,1,31.146341601902563,8
constructor_haas,0.0,0,5,25.010596743982408,9
constructor_audi,0.0,0,3,22.800949824234912,10
