unique_id,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
RUS_saudi_arabia,3.38,RUS,Mercedes,1.0,1,0.2036674704030845
ANT_saudi_arabia,3.575,ANT,Mercedes,2.0,2,0.18205515370907122
LEC_saudi_arabia,4.140000000000001,LEC,Ferrari,4.0,3,0.13575454788168906
PIA_saudi_arabia,5.583333333333334,PIA,McLaren,5.0,4,0.07463936855373395
HAD_saudi_arabia,5.625,HAD,Red Bull Racing,3.0,5,0.07353769556931945
SAI_saudi_arabia,6.25,SAI,Williams,,6,0.059565533411148765
HAM_saudi_arabia,6.789999999999999,HAM,Ferrari,7.0,7,0.05046793341314545
NOR_saudi_arabia,7.12,NOR,McLaren,6.0,8,0.04589813961449388
LIN_saudi_arabia,10.625,LIN,Racing Bulls,8.0,9,0.020610911214930368
BEA_saudi_arabia,11.358333333333334,BEA,Haas,12.0,10,0.018035402971936322
HUL_saudi_arabia,11.4375,HUL,Audi,11.0,11,0.01778659661714257
OCO_saudi_arabia,11.600000000000001,OCO,Haas,13.0,12,0.01729175571397888
BOR_saudi_arabia,12.975,BOR,Audi,10.0,13,0.013821027684768018
GAS_saudi_arabia,13.509999999999998,GAS,Alpine,14.0,14,0.012748068014826855
VER_saudi_arabia,13.56,VER,Red Bull Racing,20.0,15,0.012654229040346184
PER_saudi_arabia,13.8,PER,Cadillac,18.0,16,0.012217909309352017
ALB_saudi_arabia,14.3875,ALB,Williams,15.0,17,0.01124046807995102
ALO_saudi_arabia,14.41,ALO,Aston Martin,17.0,18,0.01120539339812403
COL_saudi_arabia,15.717307692307692,COL,Alpine,16.0,19,0.009418869058878438
STR_saudi_arabia,15.8,STR,Aston Martin,,20,0.0093205361675733
BOT_saudi_arabia,16.987499999999997,BOT,Cadillac,19.0,21,0.008062990172505535
