race_slug,year,round,race_name,circuit_type,session,session_date,weather_enc,precip_mm,precip_prob
belgium,2025,13,Belgian Grand Prix,power,Qualifying,2025-07-26,0,0.2,
belgium,2025,13,Belgian Grand Prix,power,Race,2025-07-27,1,11.0,
azerbaijan,2025,17,Azerbaijan Grand Prix,street,Qualifying,2025-09-20,1,1.1,
azerbaijan,2025,17,Azerbaijan Grand Prix,street,Race,2025-09-21,1,2.2,
monaco,2025,8,Monaco Grand Prix,street,Qualifying,2025-05-24,0,0.3,
monaco,2025,8,Monaco Grand Prix,street,Race,2025-05-25,0,0.0,
australia,2026,1,Australian Grand Prix,street,Qualifying,2026-03-07,0,0.3,
australia,2026,1,Australian Grand Prix,street,Race,2026-03-08,0,0.0,
china,2026,2,Chinese Grand Prix,balanced,Qualifying,2026-03-14,0,0.0,
china,2026,2,Chinese Grand Prix,balanced,Race,2026-03-15,0,0.8,
japan,2026,3,Japanese Grand Prix,technical,Qualifying,2026-03-28,0,0.0,
japan,2026,3,Japanese Grand Prix,technical,Race,2026-03-29,0,0.0,
